kind,layout,R,T,n,rows,repeats,avg_ns,avg_ms,ratio_vs_old_t1,ratio_vs_old_T,max_abs,max_rel
matrix,no_pack,1,1,11008,512,3,36715402,36.715,3.052,3.052,0,0
matrix,no_pack,1,2,11008,512,3,49369961,49.370,4.104,2.049,0,0
matrix,no_pack,1,4,11008,512,3,70571020,70.571,5.867,1.467,0,0
matrix,no_pack,1,8,11008,512,3,120312336,120.312,10.002,1.245,0,0
matrix,no_pack,2,1,11008,512,3,19882404,19.882,1.653,1.653,0,0
matrix,no_pack,2,2,11008,512,3,24696978,24.697,2.053,1.025,0,0
matrix,no_pack,2,4,11008,512,3,31755195,31.755,2.640,0.660,0,0
matrix,no_pack,2,8,11008,512,3,52366280,52.366,4.353,0.542,0,0
matrix,no_pack,4,1,11008,512,3,17938647,17.939,1.491,1.491,0,0
matrix,no_pack,4,2,11008,512,3,22621915,22.622,1.881,0.939,0,0
matrix,no_pack,4,4,11008,512,3,29149558,29.150,2.423,0.606,0,0
matrix,no_pack,4,8,11008,512,3,43395053,43.395,3.607,0.449,0,0
matrix,no_pack,8,1,11008,512,3,19476530,19.477,1.619,1.619,0,0
matrix,no_pack,8,2,11008,512,3,23488363,23.488,1.953,0.975,0,0
matrix,no_pack,8,4,11008,512,3,27179868,27.180,2.259,0.565,0,0
matrix,no_pack,8,8,11008,512,3,37693438,37.693,3.133,0.390,0,0
kind,layout,R,T,n,rows,repeats,C_pack_rhs_ns,C_pack_weight_once_ns,C_kernel_ns,C_total_ns,C_total_ms,ratio_vs_old_t1,ratio_vs_old_T,max_abs,max_rel
layout,Layout0_no_packing,1,4,11008,512,3,0,0,41310890,41310890,41.311,3.434,0.858,0,0
layout,Layout1_packed_rhs,1,4,11008,512,3,16453,0,41815764,41832217,41.832,3.478,0.869,0,0
layout,Layout2_rowblocked_weights,1,4,11008,512,3,0,1167935,43790520,44958455,44.958,3.737,0.934,0,0
layout,Layout3_packed_rhs_rowblocked_weights,1,4,11008,512,3,16453,1167935,43908687,45093075,45.093,3.749,0.937,0,0
layout,Layout0_no_packing,2,4,11008,512,3,0,0,33727558,33727558,33.728,2.804,0.701,0,0
layout,Layout1_packed_rhs,2,4,11008,512,3,16167,0,33481731,33497898,33.498,2.785,0.696,0,0
layout,Layout2_rowblocked_weights,2,4,11008,512,3,0,3239232,29815619,33054851,33.055,2.748,0.687,0,0
layout,Layout3_packed_rhs_rowblocked_weights,2,4,11008,512,3,16167,3239232,29861006,33116404,33.116,2.753,0.688,0,0
layout,Layout0_no_packing,4,4,11008,512,3,0,0,28720797,28720797,28.721,2.388,0.597,0,0
layout,Layout1_packed_rhs,4,4,11008,512,3,16113,0,27695162,27711276,27.711,2.304,0.576,0,0
layout,Layout2_rowblocked_weights,4,4,11008,512,3,0,3626006,17458740,21084746,21.085,1.753,0.438,0,0
layout,Layout3_packed_rhs_rowblocked_weights,4,4,11008,512,3,16113,3626006,16438412,20080531,20.081,1.669,0.417,0,0
layout,Layout0_no_packing,8,4,11008,512,3,0,0,20455278,20455278,20.455,1.700,0.425,0,0
layout,Layout1_packed_rhs,8,4,11008,512,3,14727,0,19750324,19765050,19.765,1.643,0.411,0,0
layout,Layout2_rowblocked_weights,8,4,11008,512,3,0,2659564,13883461,16543025,16.543,1.375,0.344,0,0
layout,Layout3_packed_rhs_rowblocked_weights,8,4,11008,512,3,14727,2659564,13901401,16575692,16.576,1.378,0.344,0,0
