kind,layout,R,T,n,rows,repeats,avg_ns,avg_ms,ratio_vs_old_t1,ratio_vs_old_T,max_abs,max_rel
matrix,no_pack,1,1,11008,512,5,36761854,36.762,3.057,3.057,0,0
matrix,no_pack,1,2,11008,512,5,49601628,49.602,4.125,2.059,0,0
matrix,no_pack,1,4,11008,512,5,41465182,41.465,3.448,0.862,0,0
matrix,no_pack,1,8,11008,512,5,76364058,76.364,6.351,0.793,0,0
matrix,no_pack,2,1,11008,512,5,21809353,21.809,1.814,1.814,0,0
matrix,no_pack,2,2,11008,512,5,27149814,27.150,2.258,1.127,0,0
matrix,no_pack,2,4,11008,512,5,35201924,35.202,2.928,0.732,0,0
matrix,no_pack,2,8,11008,512,5,58373251,58.373,4.855,0.606,0,0
matrix,no_pack,4,1,11008,512,5,19532297,19.532,1.624,1.624,0,0
matrix,no_pack,4,2,11008,512,5,25009327,25.009,2.080,1.038,0,0
matrix,no_pack,4,4,11008,512,5,31585622,31.586,2.627,0.657,0,0
matrix,no_pack,4,8,11008,512,5,47864345,47.864,3.981,0.497,0,0
matrix,no_pack,8,1,11008,512,5,21020664,21.021,1.748,1.748,0,0
matrix,no_pack,8,2,11008,512,5,25617788,25.618,2.130,1.063,0,0
matrix,no_pack,8,4,11008,512,5,30094347,30.094,2.503,0.626,0,0
matrix,no_pack,8,8,11008,512,5,41537071,41.537,3.454,0.431,0,0
kind,layout,R,T,n,rows,repeats,C_pack_rhs_ns,C_pack_weight_once_ns,C_kernel_ns,C_total_ns,C_total_ms,ratio_vs_old_t1,ratio_vs_old_T,max_abs,max_rel
layout,Layout0_no_packing,1,4,11008,512,5,0,0,44775456,44775456,44.775,3.724,0.931,0,0
layout,Layout1_packed_rhs,1,4,11008,512,5,17700,0,30139547,30157247,30.157,2.508,0.627,0,0
layout,Layout2_rowblocked_weights,1,4,11008,512,5,0,1281674,31680114,32961788,32.962,2.741,0.685,0,0
layout,Layout3_packed_rhs_rowblocked_weights,1,4,11008,512,5,17700,1281674,31689194,32988568,32.989,2.743,0.686,0,0
layout,Layout0_no_packing,2,4,11008,512,5,0,0,25261747,25261747,25.262,2.101,0.525,0,0
layout,Layout1_packed_rhs,2,4,11008,512,5,15548,0,25134315,25149863,25.150,2.092,0.523,0,0
layout,Layout2_rowblocked_weights,2,4,11008,512,5,0,3034665,21525657,24560322,24.560,2.043,0.511,0,0
layout,Layout3_packed_rhs_rowblocked_weights,2,4,11008,512,5,15548,3034665,21577537,24627750,24.628,2.048,0.512,0,0
layout,Layout0_no_packing,4,4,11008,512,5,0,0,21819409,21819409,21.819,1.815,0.454,0,0
layout,Layout1_packed_rhs,4,4,11008,512,5,15892,0,20835896,20851788,20.852,1.734,0.434,0,0
layout,Layout2_rowblocked_weights,4,4,11008,512,5,0,3427954,16433624,19861578,19.862,1.652,0.413,0,0
layout,Layout3_packed_rhs_rowblocked_weights,4,4,11008,512,5,15892,3427954,16439460,19883306,19.883,1.654,0.413,0,0
layout,Layout0_no_packing,8,4,11008,512,5,0,0,20855916,20855916,20.856,1.734,0.434,0,0
layout,Layout1_packed_rhs,8,4,11008,512,5,15688,0,20169666,20185354,20.185,1.679,0.420,0,0
layout,Layout2_rowblocked_weights,8,4,11008,512,5,0,2909437,13916384,16825821,16.826,1.399,0.350,0,0
layout,Layout3_packed_rhs_rowblocked_weights,8,4,11008,512,5,15688,2909437,13922624,16847749,16.848,1.401,0.350,0,0
