kind,layout,R,T,n,rows,repeats,avg_ns,avg_ms,ratio_vs_old_t1,ratio_vs_old_T,max_abs,max_rel
matrix,no_pack,1,1,11008,512,5,36761854,36.762,3.057,3.057,0,0
matrix,no_pack,1,2,11008,512,5,49601628,49.602,4.125,2.059,0,0
matrix,no_pack,1,4,11008,512,5,41465182,41.465,3.448,0.862,0,0
matrix,no_pack,1,8,11008,512,5,76364058,76.364,6.351,0.793,0,0
matrix,no_pack,2,1,11008,512,5,21809353,21.809,1.814,1.814,0,0
matrix,no_pack,2,2,11008,512,5,27149814,27.150,2.258,1.127,0,0
matrix,no_pack,2,4,11008,512,5,35201924,35.202,2.928,0.732,0,0
matrix,no_pack,2,8,11008,512,5,58373251,58.373,4.855,0.606,0,0
matrix,no_pack,4,1,11008,512,5,19532297,19.532,1.624,1.624,0,0
matrix,no_pack,4,2,11008,512,5,25009327,25.009,2.080,1.038,0,0
matrix,no_pack,4,4,11008,512,5,31585622,31.586,2.627,0.657,0,0
matrix,no_pack,4,8,11008,512,5,47864345,47.864,3.981,0.497,0,0
matrix,no_pack,8,1,11008,512,5,21020664,21.021,1.748,1.748,0,0
matrix,no_pack,8,2,11008,512,5,25617788,25.618,2.130,1.063,0,0
matrix,no_pack,8,4,11008,512,5,30094347,30.094,2.503,0.626,0,0
matrix,no_pack,8,8,11008,512,5,41537071,41.537,3.454,0.431,0,0
