T,n,rows,repeats,avg_ns,avg_ms,total_ratio,per_token_ns,path
1,11008,32,3,747528,0.748,1.000,747528,ggml_vec_dot_q4_0_q8_0_nrc1
2,11008,32,3,1499103,1.499,2.005,749551,ggml_vec_dot_q4_0_q8_0_nrc1
4,11008,32,3,3050559,3.051,4.081,762640,ggml_vec_dot_q4_0_q8_0_nrc1
8,11008,32,3,6000918,6.001,8.028,750115,ggml_vec_dot_q4_0_q8_0_nrc1
16,11008,32,3,11999890,12.000,16.053,749993,ggml_vec_dot_q4_0_q8_0_nrc1
1,11008,128,3,2553558,2.554,1.000,2553558,ggml_vec_dot_q4_0_q8_0_nrc1
2,11008,128,3,5101797,5.102,1.998,2550899,ggml_vec_dot_q4_0_q8_0_nrc1
4,11008,128,3,10203420,10.203,3.996,2550855,ggml_vec_dot_q4_0_q8_0_nrc1
8,11008,128,3,20392307,20.392,7.986,2549038,ggml_vec_dot_q4_0_q8_0_nrc1
16,11008,128,3,40854121,40.854,15.999,2553383,ggml_vec_dot_q4_0_q8_0_nrc1
1,11008,512,3,10685428,10.685,1.000,10685428,ggml_vec_dot_q4_0_q8_0_nrc1
2,11008,512,3,21398930,21.399,2.003,10699465,ggml_vec_dot_q4_0_q8_0_nrc1
4,11008,512,3,42742126,42.742,4.000,10685531,ggml_vec_dot_q4_0_q8_0_nrc1
8,11008,512,3,85392165,85.392,7.991,10674021,ggml_vec_dot_q4_0_q8_0_nrc1
16,11008,512,3,170899377,170.899,15.994,10681211,ggml_vec_dot_q4_0_q8_0_nrc1
1,11008,2048,3,43740035,43.740,1.000,43740035,ggml_vec_dot_q4_0_q8_0_nrc1
2,11008,2048,3,90626250,90.626,2.072,45313125,ggml_vec_dot_q4_0_q8_0_nrc1
4,11008,2048,3,175159329,175.159,4.005,43789832,ggml_vec_dot_q4_0_q8_0_nrc1
8,11008,2048,3,350113024,350.113,8.004,43764128,ggml_vec_dot_q4_0_q8_0_nrc1
16,11008,2048,3,444285557,444.286,10.157,27767847,ggml_vec_dot_q4_0_q8_0_nrc1
