rows,candidate,R,T,repeats,C_best_T1_ms,C_old_T8_ms,C_candidate_T8_ms,C8_C1,speedup_vs_old_T8,ratio_vs_old_T8,C_pack_rhs_ms,C_pack_weight_once_ms,C_kernel_ms,max_abs,max_rel,best_for_rows,gate
512,native_T8_no_pack,1,8,5,12.051416,96.195039,61.025,5.064,1.576,0.634,0.000000,0.000000,61.024510,0,0,no,FAIL_T8
512,native_T8_packed_rhs,1,8,5,12.051416,96.195039,57.356,4.759,1.677,0.596,0.029720,0.000000,57.325877,0,0,no,FAIL_T8
512,native_T8_rowblocked_weights,1,8,5,12.051416,96.195039,59.236,4.915,1.624,0.616,0.000000,1.102095,58.133967,0,0,no,FAIL_T8
512,native_T8_packed_rhs_rowblocked_weights,1,8,5,12.051416,96.195039,56.810,4.714,1.693,0.591,0.029720,1.102095,55.678030,0,0,no,FAIL_T8
512,composed_2xT4_no_pack,1,8,5,12.051416,96.195039,59.744,4.957,1.610,0.621,0.000000,0.000000,59.744335,0,0,no,FAIL_T8
512,composed_2xT4_packed_rhs,1,8,5,12.051416,96.195039,60.272,5.001,1.596,0.627,0.028672,0.000000,60.243424,0,0,no,FAIL_T8
512,composed_2xT4_rowblocked_weights,1,8,5,12.051416,96.195039,64.383,5.342,1.494,0.669,0.000000,1.102095,63.280511,0,0,no,FAIL_T8
512,composed_2xT4_packed_rhs_rowblocked_weights,1,8,5,12.051416,96.195039,64.512,5.353,1.491,0.671,0.028672,1.102095,63.381480,0,0,no,FAIL_T8
512,native_T8_no_pack,2,8,5,12.051416,96.195039,45.745,3.796,2.103,0.476,0.000000,0.000000,45.744707,0,0,no,FAIL_T8
512,native_T8_packed_rhs,2,8,5,12.051416,96.195039,42.683,3.542,2.254,0.444,0.029508,0.000000,42.653187,0,0,no,FAIL_T8
512,native_T8_rowblocked_weights,2,8,5,12.051416,96.195039,40.222,3.338,2.392,0.418,0.000000,3.908457,36.313569,0,0,no,FAIL_T8
512,native_T8_packed_rhs_rowblocked_weights,2,8,5,12.051416,96.195039,39.066,3.242,2.462,0.406,0.029508,3.908457,35.128194,0,0,no,FAIL_T8
512,composed_2xT4_no_pack,2,8,5,12.051416,96.195039,47.392,3.932,2.030,0.493,0.000000,0.000000,47.392154,0,0,no,FAIL_T8
512,composed_2xT4_packed_rhs,2,8,5,12.051416,96.195039,47.467,3.939,2.027,0.493,0.028472,0.000000,47.438838,0,0,no,FAIL_T8
512,composed_2xT4_rowblocked_weights,2,8,5,12.051416,96.195039,46.932,3.894,2.050,0.488,0.000000,3.908457,43.023072,0,0,no,FAIL_T8
512,composed_2xT4_packed_rhs_rowblocked_weights,2,8,5,12.051416,96.195039,46.994,3.899,2.047,0.489,0.028472,3.908457,43.057200,0,0,no,FAIL_T8
512,native_T8_no_pack,4,8,5,12.051416,96.195039,36.673,3.043,2.623,0.381,0.000000,0.000000,36.672617,0,0,no,FAIL_T8
512,native_T8_packed_rhs,4,8,5,12.051416,96.195039,33.699,2.796,2.855,0.350,0.029564,0.000000,33.669026,0,0,no,FAIL_T8
512,native_T8_rowblocked_weights,4,8,5,12.051416,96.195039,30.297,2.514,3.175,0.315,0.000000,4.605763,25.691180,0,0,no,FAIL_T8
512,native_T8_packed_rhs_rowblocked_weights,4,8,5,12.051416,96.195039,29.466,2.445,3.265,0.306,0.029564,4.605763,24.830882,0,0,no,CONDITIONAL_T8
512,composed_2xT4_no_pack,4,8,5,12.051416,96.195039,39.977,3.317,2.406,0.416,0.000000,0.000000,39.976673,0,0,no,FAIL_T8
512,composed_2xT4_packed_rhs,4,8,5,12.051416,96.195039,39.320,3.263,2.446,0.409,0.028368,0.000000,39.291636,0,0,no,FAIL_T8
512,composed_2xT4_rowblocked_weights,4,8,5,12.051416,96.195039,37.474,3.110,2.567,0.390,0.000000,4.605763,32.868361,0,0,no,FAIL_T8
512,composed_2xT4_packed_rhs_rowblocked_weights,4,8,5,12.051416,96.195039,37.517,3.113,2.564,0.390,0.028368,4.605763,32.883189,0,0,no,FAIL_T8
512,native_T8_no_pack,8,8,5,12.051416,96.195039,31.258,2.594,3.077,0.325,0.000000,0.000000,31.257873,0,0,no,FAIL_T8
512,native_T8_packed_rhs,8,8,5,12.051416,96.195039,30.151,2.502,3.190,0.313,0.029400,0.000000,30.122086,0,0,no,FAIL_T8
512,native_T8_rowblocked_weights,8,8,5,12.051416,96.195039,23.992,1.991,4.010,0.249,0.000000,3.898821,20.092707,0,0,no,PASS_STRICT_T8
512,native_T8_packed_rhs_rowblocked_weights,8,8,5,12.051416,96.195039,23.615,1.959,4.074,0.245,0.029400,3.898821,19.686486,0,0,no,PASS_STRICT_T8
512,composed_2xT4_no_pack,8,8,5,12.051416,96.195039,38.348,3.182,2.508,0.399,0.000000,0.000000,38.348141,0,0,no,FAIL_T8
512,composed_2xT4_packed_rhs,8,8,5,12.051416,96.195039,37.274,3.093,2.581,0.387,0.028072,0.000000,37.245811,0,0,no,FAIL_T8
512,composed_2xT4_rowblocked_weights,8,8,5,12.051416,96.195039,31.704,2.631,3.034,0.330,0.000000,3.898821,27.804685,0,0,no,FAIL_T8
512,composed_2xT4_packed_rhs_rowblocked_weights,8,8,5,12.051416,96.195039,31.724,2.632,3.032,0.330,0.028072,3.898821,27.797329,0,0,no,FAIL_T8
512,native_T8_no_pack,16,8,5,12.051416,96.195039,28.471,2.362,3.379,0.296,0.000000,0.000000,28.470578,0,0,no,CONDITIONAL_T8
512,native_T8_packed_rhs,16,8,5,12.051416,96.195039,27.965,2.320,3.440,0.291,0.029680,0.000000,27.934881,0,0,no,CONDITIONAL_T8
512,native_T8_rowblocked_weights,16,8,5,12.051416,96.195039,21.427,1.778,4.489,0.223,0.000000,3.893589,17.533785,0,0,no,PASS_STRICT_T8
512,native_T8_packed_rhs_rowblocked_weights,16,8,5,12.051416,96.195039,21.144,1.754,4.550,0.220,0.029680,3.893589,17.220788,0,0,yes,PASS_STRICT_T8
512,composed_2xT4_no_pack,16,8,5,12.051416,96.195039,36.537,3.032,2.633,0.380,0.000000,0.000000,36.536669,0,0,no,FAIL_T8
512,composed_2xT4_packed_rhs,16,8,5,12.051416,96.195039,36.245,3.008,2.654,0.377,0.028392,0.000000,36.216596,0,0,no,FAIL_T8
512,composed_2xT4_rowblocked_weights,16,8,5,12.051416,96.195039,29.325,2.433,3.280,0.305,0.000000,3.893589,25.431387,0,0,no,CONDITIONAL_T8
512,composed_2xT4_packed_rhs_rowblocked_weights,16,8,5,12.051416,96.195039,29.314,2.432,3.281,0.305,0.028392,3.893589,25.392427,0,0,no,CONDITIONAL_T8
2048,native_T8_no_pack,1,8,3,42.917581,316.249916,246.154,5.736,1.285,0.778,0.000000,0.000000,246.154267,0,0,no,FAIL_T8
2048,native_T8_packed_rhs,1,8,3,42.917581,316.249916,228.876,5.333,1.382,0.724,0.029467,0.000000,228.846860,0,0,no,FAIL_T8
2048,native_T8_rowblocked_weights,1,8,3,42.917581,316.249916,241.882,5.636,1.307,0.765,0.000000,4.453751,237.428301,0,0,no,FAIL_T8
2048,native_T8_packed_rhs_rowblocked_weights,1,8,3,42.917581,316.249916,226.792,5.284,1.394,0.717,0.029467,4.453751,222.308445,0,0,no,FAIL_T8
2048,composed_2xT4_no_pack,1,8,3,42.917581,316.249916,240.342,5.600,1.316,0.760,0.000000,0.000000,240.341635,0,0,no,FAIL_T8
2048,composed_2xT4_packed_rhs,1,8,3,42.917581,316.249916,241.133,5.619,1.312,0.762,0.028287,0.000000,241.104657,0,0,no,FAIL_T8
2048,composed_2xT4_rowblocked_weights,1,8,3,42.917581,316.249916,257.607,6.002,1.228,0.815,0.000000,4.453751,253.153705,0,0,no,FAIL_T8
2048,composed_2xT4_packed_rhs_rowblocked_weights,1,8,3,42.917581,316.249916,258.059,6.013,1.225,0.816,0.028287,4.453751,253.576880,0,0,no,FAIL_T8
2048,native_T8_no_pack,2,8,3,42.917581,316.249916,202.735,4.724,1.560,0.641,0.000000,0.000000,202.735246,0,0,no,FAIL_T8
2048,native_T8_packed_rhs,2,8,3,42.917581,316.249916,187.945,4.379,1.683,0.594,0.029793,0.000000,187.914765,0,0,no,FAIL_T8
2048,native_T8_rowblocked_weights,2,8,3,42.917581,316.249916,171.133,3.987,1.848,0.541,0.000000,23.264955,147.867903,0,0,no,FAIL_T8
2048,native_T8_packed_rhs_rowblocked_weights,2,8,3,42.917581,316.249916,163.576,3.811,1.933,0.517,0.029793,23.264955,140.281492,0,0,no,FAIL_T8
2048,composed_2xT4_no_pack,2,8,3,42.917581,316.249916,208.200,4.851,1.519,0.658,0.000000,0.000000,208.200179,0,0,no,FAIL_T8
2048,composed_2xT4_packed_rhs,2,8,3,42.917581,316.249916,207.482,4.834,1.524,0.656,0.028260,0.000000,207.454104,0,0,no,FAIL_T8
2048,composed_2xT4_rowblocked_weights,2,8,3,42.917581,316.249916,195.281,4.550,1.619,0.617,0.000000,23.264955,172.015967,0,0,no,FAIL_T8
2048,composed_2xT4_packed_rhs_rowblocked_weights,2,8,3,42.917581,316.249916,195.683,4.560,1.616,0.619,0.028260,23.264955,172.390201,0,0,no,FAIL_T8
2048,native_T8_no_pack,4,8,3,42.917581,316.249916,165.387,3.854,1.912,0.523,0.000000,0.000000,165.386532,0,0,no,FAIL_T8
2048,native_T8_packed_rhs,4,8,3,42.917581,316.249916,151.440,3.529,2.088,0.479,0.029613,0.000000,151.410252,0,0,no,FAIL_T8
2048,native_T8_rowblocked_weights,4,8,3,42.917581,316.249916,131.165,3.056,2.411,0.415,0.000000,27.585332,103.579759,0,0,no,FAIL_T8
2048,native_T8_packed_rhs_rowblocked_weights,4,8,3,42.917581,316.249916,126.973,2.959,2.491,0.401,0.029613,27.585332,99.358469,0,0,no,FAIL_T8
2048,composed_2xT4_no_pack,4,8,3,42.917581,316.249916,180.345,4.202,1.754,0.570,0.000000,0.000000,180.344741,0,0,no,FAIL_T8
2048,composed_2xT4_packed_rhs,4,8,3,42.917581,316.249916,174.803,4.073,1.809,0.553,0.028360,0.000000,174.774474,0,0,no,FAIL_T8
2048,composed_2xT4_rowblocked_weights,4,8,3,42.917581,316.249916,159.083,3.707,1.988,0.503,0.000000,27.585332,131.498152,0,0,no,FAIL_T8
2048,composed_2xT4_packed_rhs_rowblocked_weights,4,8,3,42.917581,316.249916,159.174,3.709,1.987,0.503,0.028360,27.585332,131.560292,0,0,no,FAIL_T8
2048,native_T8_no_pack,8,8,3,42.917581,316.249916,141.955,3.308,2.228,0.449,0.000000,0.000000,141.954877,0,0,no,FAIL_T8
2048,native_T8_packed_rhs,8,8,3,42.917581,316.249916,137.261,3.198,2.304,0.434,0.029693,0.000000,137.231659,0,0,no,FAIL_T8
2048,native_T8_rowblocked_weights,8,8,3,42.917581,316.249916,103.743,2.417,3.048,0.328,0.000000,22.433513,81.309939,0,0,no,CONDITIONAL_T8
2048,native_T8_packed_rhs_rowblocked_weights,8,8,3,42.917581,316.249916,101.245,2.359,3.124,0.320,0.029693,22.433513,78.781667,0,0,no,CONDITIONAL_T8
2048,composed_2xT4_no_pack,8,8,3,42.917581,316.249916,170.157,3.965,1.859,0.538,0.000000,0.000000,170.156970,0,0,no,FAIL_T8
2048,composed_2xT4_packed_rhs,8,8,3,42.917581,316.249916,167.815,3.910,1.885,0.531,0.027587,0.000000,167.787265,0,0,no,FAIL_T8
2048,composed_2xT4_rowblocked_weights,8,8,3,42.917581,316.249916,133.596,3.113,2.367,0.422,0.000000,22.433513,111.162690,0,0,no,FAIL_T8
2048,composed_2xT4_packed_rhs_rowblocked_weights,8,8,3,42.917581,316.249916,133.712,3.116,2.365,0.423,0.027587,22.433513,111.251311,0,0,no,FAIL_T8
2048,native_T8_no_pack,16,8,3,42.917581,316.249916,130.806,3.048,2.418,0.414,0.000000,0.000000,130.805951,0,0,no,FAIL_T8
2048,native_T8_packed_rhs,16,8,3,42.917581,316.249916,128.521,2.995,2.461,0.406,0.029774,0.000000,128.491532,0,0,no,FAIL_T8
2048,native_T8_rowblocked_weights,16,8,3,42.917581,316.249916,93.041,2.168,3.399,0.294,0.000000,22.448840,70.592434,0,0,no,NEAR_PASS_T8
2048,native_T8_packed_rhs_rowblocked_weights,16,8,3,42.917581,316.249916,91.410,2.130,3.460,0.289,0.029774,22.448840,68.930910,0,0,yes,NEAR_PASS_T8
2048,composed_2xT4_no_pack,16,8,3,42.917581,316.249916,162.592,3.788,1.945,0.514,0.000000,0.000000,162.591739,0,0,no,FAIL_T8
2048,composed_2xT4_packed_rhs,16,8,3,42.917581,316.249916,161.913,3.773,1.953,0.512,0.027833,0.000000,161.884905,0,0,no,FAIL_T8
2048,composed_2xT4_rowblocked_weights,16,8,3,42.917581,316.249916,124.064,2.891,2.549,0.392,0.000000,22.448840,101.615595,0,0,no,FAIL_T8
2048,composed_2xT4_packed_rhs_rowblocked_weights,16,8,3,42.917581,316.249916,124.201,2.894,2.546,0.393,0.027833,22.448840,101.723895,0,0,no,FAIL_T8
